"hosts.ID","inf.by","inf.time","out.time","active","p_max","t_incub"
"H-18","H-6",16,NA,1,0.474449542166526,5.51249559931913
"H-180","H-43",27,NA,1,0.356200104683408,4.99684394193982
"H-181","H-45",27,NA,1,0.607281597620316,2.92971541764026
"H-182","H-46",27,NA,1,0.743624382745429,3.74753338192509
"H-183","H-47",27,NA,1,0.334953728090583,6.86928210178424
"H-184","H-49",27,NA,1,0.538128077785772,4.56251896129858
"H-185","H-50",27,NA,1,0.745599388478785,5.73199265242127
"H-186","H-55",27,NA,1,0.900391864841884,4.21047256205006
"H-187","H-57",27,NA,1,0.898556932271038,5.69494505156917
"H-188","H-6",27,28,0,0.799623773308428,5.1704030854731
"H-189","H-66",27,NA,1,0.816491406031458,5.93857785065385
"H-19","H-3",17,NA,1,0.935199651547576,6.13708181872162
"H-190","H-7",27,NA,1,0.84554964010897,5.34826600218654
"H-191","H-1",28,NA,1,0.688950261581714,4.81171455898474
"H-192","H-110",28,NA,1,0.99132228239849,4.18780876058961
"H-193","H-14",28,NA,1,0.436594354071257,4.69629931808056
"H-194","H-15",28,NA,1,0.659031742760174,5.44575409785835
"H-195","H-16",28,NA,1,0.563058274696821,5.71417866596102
"H-196","H-17",28,NA,1,0.430099555932082,5.40115883078101
"H-197","H-19",28,NA,1,0.910438658567373,6.95345941757553
"H-198","H-20",28,NA,1,0.784446134774174,6.29718693523428
"H-199","H-25",28,NA,1,0.718381099206942,5.81626103401567
"H-2","H-1",6,15,0,0.83137627643963,5.11751362624289
"H-20","H-5",17,NA,1,0.815160063670222,5.6376204107728
"H-200","H-26",28,NA,1,0.676917159971096,3.80180120622198
"H-201","H-27",28,32,0,0.385905191765675,5.33709217086122
"H-202","H-28",28,NA,1,0.577488303791263,6.14798519818337
"H-203","H-29",28,NA,1,0.783990411875929,5.69165001555342
"H-204","H-30",28,NA,1,0.804292442675652,3.28009798289177
"H-205","H-31",28,NA,1,0.306559277457047,4.01357657260032
"H-206","H-34",28,NA,1,0.798576527619209,5.10574216148581
"H-207","H-35",28,NA,1,0.779637319214904,4.88652744316158
"H-208","H-36",28,NA,1,0.880797438377401,4.51001146512009
"H-209","H-37",28,NA,1,0.857034918939111,5.0139205911476
"H-21","H-6",17,26,0,0.892298974002549,4.27391524263648
"H-210","H-38",28,NA,1,0.809851134437655,5.31748081600801
"H-211","H-40",28,NA,1,0.784041796533129,4.95925388840183
"H-212","H-41",28,NA,1,0.911933567835467,4.91061424117986
"H-213","H-42",28,NA,1,0.825333451182688,4.92736568387622
"H-214","H-43",28,NA,1,0.703841575498111,5.473046334552
"H-215","H-45",28,NA,1,0.59715726165575,3.08216386761273
"H-216","H-46",28,NA,1,0.879119000774279,3.63652448795816
"H-217","H-47",28,NA,1,0.601087449133421,5.82957149984998
"H-218","H-49",28,NA,1,0.52693281085029,4.00845956727482
"H-219","H-5",28,NA,1,0.818283477548483,6.8537266605109
"H-22","H-1",18,NA,1,0.48331247851662,3.55967156540548
"H-220","H-50",28,NA,1,0.96097061316963,5.08594558687112
"H-221","H-51",28,NA,1,0.623783876157289,4.68941799241968
"H-222","H-57",28,NA,1,0.774876590571271,4.70914703036392
"H-223","H-58",28,NA,1,0.679284143379213,7.52201847786278
"H-224","H-59",28,NA,1,0.624501603161394,6.79400984756372
"H-225","H-66",28,NA,1,0.503876647171749,5.00994852775316
"H-226","H-9",28,NA,1,0.810642574640862,4.34197681981167
"H-227","H-96",28,NA,1,0.929515410465512,4.74832538662456
"H-228","H-97",28,NA,1,0.748337782648773,4.85145791192402
"H-229","H-103",29,NA,1,0.74302417765419,4.04003476069508
"H-23","H-3",18,29,0,0.721252170551191,4.09230344845468
"H-230","H-110",29,NA,1,0.848324588681093,4.75099129038495
"H-231","H-119",29,NA,1,0.667486737709983,5.15694465219979
"H-232","H-12",29,NA,1,0.462925329624355,5.76810959916736
